,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,MonthlyCharges,TotalCharges,Churn
3200,Male,0,Yes,No,54,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,104.3,5278.15,1
3220,Male,0,Yes,No,70,Yes,Yes,No,Yes,Yes,No,Yes,Two year,77.3,5498.2,0
4105,Female,0,Yes,Yes,67,Yes,Yes,No,No,Yes,Yes,Yes,Two year,106.7,7009.5,0
258,Female,0,Yes,No,2,Yes,No,No,No,No,No,No,Month-to-month,44.6,80.55,1
400,Female,0,No,No,32,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.75,624.15,0
3103,Female,1,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.45,19.45,1
3873,Female,0,Yes,Yes,51,No,Yes,No,No,Yes,No,No,Two year,34.2,1782.0,0
3305,Male,1,No,No,38,Yes,No,No,No,No,Yes,Yes,Month-to-month,94.75,3653.0,0
5600,Male,0,Yes,Yes,7,Yes,No,No,No,No,No,No,Month-to-month,69.95,529.5,1
3906,Female,0,Yes,No,1,Yes,No,No,No,No,Yes,No,Month-to-month,78.8,78.8,1
6888,Female,0,Yes,Yes,3,Yes,No,No,No,No,Yes,No,Month-to-month,80.7,239.45,0
5607,Female,1,No,No,40,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,55.8,2109.35,1
3201,Female,0,No,No,50,Yes,No,Yes,No,Yes,Yes,Yes,Two year,79.6,4024.2,0
4548,Female,0,No,No,22,Yes,No,Yes,No,No,No,Yes,Month-to-month,84.3,1855.65,1
1322,Female,0,Yes,No,10,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.95,187.75,0
4627,Male,0,No,No,60,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,116.6,7049.5,0
2325,Female,0,Yes,Yes,4,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.95,82.9,0
3857,Male,0,No,No,5,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.65,93.55,0
3330,Male,1,No,No,51,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,97.8,4913.3,1
0,Female,0,Yes,No,1,No,No,Yes,No,No,No,No,Month-to-month,29.85,29.85,0
6032,Male,1,Yes,No,68,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,105.3,7299.65,1
4456,Female,0,Yes,No,68,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.95,1614.9,0
5213,Female,1,Yes,No,17,Yes,No,No,No,No,Yes,Yes,Month-to-month,92.55,1614.7,0
3749,Male,1,No,No,2,Yes,No,No,No,No,Yes,Yes,Month-to-month,93.85,196.75,1
1402,Female,0,No,Yes,18,No,No,No,No,No,No,Yes,Month-to-month,35.0,553.0,1
7009,Male,0,No,No,23,Yes,No,No,Yes,No,No,No,Month-to-month,81.0,1917.1,1
3391,Male,0,No,No,4,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.0,73.45,0
5202,Male,0,Yes,Yes,59,Yes,Yes,Yes,No,Yes,Yes,Yes,Two year,111.1,6555.2,0
542,Female,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.55,19.55,0
4463,Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,69.85,69.85,1
2827,Male,0,No,No,1,Yes,No,Yes,No,No,No,No,Month-to-month,50.15,50.15,0
5215,Female,0,Yes,No,8,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.15,156.25,1
4363,Female,0,Yes,No,56,Yes,No,No,No,No,Yes,No,Month-to-month,85.6,4902.8,0
6024,Female,0,Yes,No,3,Yes,No,Yes,No,No,No,Yes,Month-to-month,91.5,242.95,1
498,Female,1,No,No,5,No,No,Yes,No,No,No,No,Month-to-month,28.45,131.05,1
1804,Female,0,Yes,Yes,34,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.65,716.4,0
3618,Male,0,Yes,Yes,47,Yes,No,Yes,No,No,No,No,Month-to-month,54.25,2538.2,0
718,Female,0,No,No,26,No,No,No,Yes,No,Yes,Yes,Month-to-month,50.35,1277.5,0
6085,Female,0,No,No,3,Yes,No,No,No,No,No,No,Month-to-month,50.65,151.3,1
5698,Male,0,Yes,Yes,21,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,104.4,2157.95,1
5459,Female,0,Yes,Yes,10,Yes,No,No,No,No,Yes,Yes,Month-to-month,88.85,929.45,0
5150,Female,0,Yes,No,2,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.1,43.15,0
6586,Female,0,Yes,Yes,45,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.65,1171.3,0
7010,Female,1,Yes,No,1,Yes,No,No,No,No,No,No,Month-to-month,74.45,74.45,1
6546,Male,0,No,No,24,Yes,Yes,No,No,No,No,No,Month-to-month,51.15,1275.7,0
6388,Female,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.4,20.4,1
854,Female,0,No,No,68,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.5,1424.9,0
4237,Male,0,No,No,5,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,70.05,346.4,1
5364,Male,0,No,No,18,Yes,No,No,Yes,No,No,Yes,Month-to-month,90.7,1597.25,1
1747,Female,0,Yes,Yes,3,Yes,No,No,No,No,No,Yes,Month-to-month,84.75,264.85,1
801,Female,0,No,No,10,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,98.5,1058.25,1
6229,Male,0,Yes,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,85.45,6227.5,0
1657,Male,0,No,No,35,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,25.6,901.25,0
3727,Female,0,No,No,3,Yes,No,No,No,No,Yes,Yes,Month-to-month,96.6,291.9,1
2863,Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,44.6,44.6,0
5880,Male,0,No,No,3,No,No,Yes,No,No,No,No,Month-to-month,29.6,79.45,1
6687,Female,1,Yes,No,2,Yes,No,No,Yes,No,No,No,Month-to-month,79.2,172.85,1
4134,Female,0,Yes,No,55,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,103.65,5676.65,0
4434,Female,0,Yes,No,16,Yes,Yes,Yes,Yes,No,No,No,Month-to-month,90.7,1374.9,0
2668,Male,0,No,Yes,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.75,19.75,1
3822,Female,0,Yes,Yes,6,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,94.05,518.75,0
5054,Female,0,No,No,68,Yes,Yes,No,Yes,No,No,No,One year,54.45,3674.95,0
1874,Female,0,Yes,No,43,Yes,Yes,Yes,No,Yes,Yes,Yes,Two year,86.45,3574.5,0
6364,Male,0,No,Yes,27,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.85,788.55,0
3464,Female,0,Yes,No,31,Yes,No,Yes,No,No,No,Yes,Month-to-month,83.85,2674.15,0
180,Female,0,No,No,1,No,No,Yes,No,No,No,No,Month-to-month,29.95,29.95,1
1486,Female,0,No,No,2,Yes,No,Yes,No,Yes,No,No,Month-to-month,55.05,102.75,1
4655,Female,0,No,No,32,Yes,Yes,No,No,No,Yes,Yes,One year,74.75,2282.95,0
5164,Female,0,No,No,7,Yes,Yes,No,No,No,No,No,Month-to-month,53.65,404.35,0
5884,Male,1,Yes,No,46,No,No,Yes,Yes,Yes,Yes,Yes,One year,59.9,2816.65,1
1736,Female,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.5,19.5,1
2924,Male,0,No,No,11,Yes,No,Yes,No,No,No,No,Month-to-month,74.55,824.75,1
1974,Male,0,Yes,No,11,Yes,No,No,No,No,No,No,Month-to-month,74.95,825.7,1
5388,Male,0,Yes,Yes,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.9,19.9,1
6836,Male,1,Yes,No,6,Yes,No,Yes,No,No,No,Yes,Month-to-month,84.2,519.15,1
4729,Female,0,Yes,Yes,69,No,No,Yes,Yes,No,Yes,Yes,Two year,54.95,3772.5,0
5750,Female,1,Yes,No,13,Yes,No,No,No,No,No,No,Month-to-month,70.15,916.75,1
6479,Female,0,No,No,1,Yes,No,No,No,No,Yes,No,Month-to-month,55.0,55.0,1
482,Female,1,No,No,20,Yes,No,No,No,No,No,Yes,Month-to-month,81.45,1671.6,0
2706,Male,0,Yes,No,2,Yes,No,No,Yes,No,No,No,Month-to-month,76.4,151.8,1
6395,Male,0,Yes,Yes,41,Yes,No,No,Yes,Yes,Yes,Yes,One year,102.6,4213.35,1
2370,Male,0,Yes,No,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,112.55,7806.5,0
5411,Female,1,Yes,No,1,No,No,No,No,No,No,No,Month-to-month,24.8,24.8,1
4084,Female,0,No,No,1,Yes,No,No,No,No,Yes,No,Month-to-month,78.05,78.05,1
5573,Female,1,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,69.85,69.85,1
3169,Male,0,Yes,Yes,52,Yes,No,Yes,Yes,Yes,Yes,No,One year,68.75,3482.85,0
3356,Female,0,Yes,Yes,4,Yes,No,No,No,No,No,No,Month-to-month,50.85,239.55,1
3746,Female,0,Yes,No,1,Yes,No,No,No,No,No,No,Month-to-month,68.95,68.95,1
6234,Male,0,No,No,58,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.3,1474.35,0
4428,Male,0,Yes,Yes,19,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,103.3,2012.7,1
4079,Female,0,Yes,No,10,Yes,Yes,No,No,No,No,No,Month-to-month,78.15,765.15,0
3610,Female,0,No,No,12,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,100.15,1164.3,1
2018,Female,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,45.3,45.3,1
4235,Female,1,Yes,No,56,Yes,Yes,Yes,Yes,Yes,No,No,One year,95.65,5471.75,0
503,Female,0,Yes,Yes,52,Yes,Yes,No,Yes,Yes,No,No,Month-to-month,84.05,4326.8,0
1284,Male,0,Yes,Yes,59,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.85,1188.25,0
638,Male,1,Yes,Yes,56,Yes,Yes,No,Yes,No,Yes,Yes,One year,104.55,5794.65,1
6945,Male,0,Yes,Yes,70,Yes,No,Yes,No,No,Yes,Yes,Two year,98.3,6859.5,1
172,Male,0,Yes,No,14,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,81.95,1181.75,0
275,Male,0,Yes,No,5,Yes,No,Yes,No,Yes,No,No,Month-to-month,85.4,401.1,1
1613,Male,0,No,No,34,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.7,675.6,0
4121,Male,1,Yes,No,27,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,95.55,2510.2,1
1840,Male,0,Yes,Yes,65,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,108.65,6937.95,1
841,Female,0,Yes,No,72,Yes,Yes,No,Yes,No,Yes,Yes,Two year,105.0,7589.8,0
2520,Female,0,Yes,Yes,34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,84.75,2839.45,0
6157,Male,0,No,No,3,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.85,64.55,1
3773,Female,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,25.2,25.2,1
4847,Female,1,No,No,37,Yes,No,No,No,No,No,No,Month-to-month,76.25,2841.55,1
6137,Female,0,No,No,5,Yes,Yes,No,No,Yes,No,No,Month-to-month,53.85,259.8,1
3966,Male,0,Yes,Yes,72,Yes,Yes,Yes,No,Yes,Yes,Yes,Two year,107.7,7919.8,0
5090,Male,1,Yes,No,7,Yes,Yes,Yes,No,No,No,Yes,Month-to-month,94.7,673.1,1
6972,Female,1,No,No,56,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,111.95,6418.9,1
863,Female,0,No,No,3,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,95.1,307.4,1
361,Female,0,No,No,41,Yes,No,Yes,No,Yes,Yes,Yes,Two year,98.8,3959.15,0
3139,Male,0,No,No,2,No,No,No,No,Yes,No,No,Month-to-month,29.85,75.6,1
6215,Female,1,No,No,6,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,98.25,560.6,1
3187,Male,0,Yes,Yes,34,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,89.85,3091.75,0
6250,Female,0,Yes,No,69,Yes,Yes,No,No,No,Yes,Yes,Two year,99.15,6875.35,0
2149,Female,0,No,No,46,Yes,No,No,Yes,No,Yes,Yes,One year,101.1,4674.4,0
3458,Female,0,No,No,26,Yes,No,No,No,No,Yes,Yes,Month-to-month,88.8,2274.35,1
6801,Female,0,Yes,Yes,19,Yes,No,No,No,Yes,No,Yes,One year,89.35,1686.85,0
5449,Male,0,Yes,Yes,67,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,103.15,6895.5,0
1703,Male,0,No,No,11,No,No,Yes,No,Yes,No,No,Month-to-month,35.65,425.1,0
4914,Female,0,Yes,Yes,72,Yes,Yes,Yes,No,Yes,Yes,No,Two year,74.55,5430.65,0
505,Female,1,No,No,20,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,94.1,1782.4,1
1131,Female,0,Yes,No,14,Yes,Yes,No,No,No,Yes,No,Month-to-month,64.7,941.0,1
1224,Male,0,Yes,Yes,1,Yes,No,No,No,No,No,No,Month-to-month,45.85,45.85,1
5260,Female,0,No,No,33,Yes,Yes,No,No,No,No,Yes,Month-to-month,90.65,2989.6,0
1051,Female,0,Yes,Yes,16,No,No,No,No,No,No,Yes,Month-to-month,35.5,552.7,0
1647,Male,0,Yes,Yes,11,Yes,No,No,No,No,Yes,No,Month-to-month,79.5,868.5,1
6861,Female,0,Yes,Yes,14,Yes,No,No,No,Yes,Yes,No,Month-to-month,91.65,1301.0,1
3093,Male,0,No,Yes,28,Yes,No,Yes,No,Yes,No,No,One year,54.4,1516.6,0
3039,Male,1,Yes,No,72,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,64.45,4641.1,0
3625,Female,0,Yes,No,71,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.85,1379.6,0
2224,Male,1,Yes,No,17,Yes,No,Yes,No,No,No,No,Month-to-month,76.45,1233.4,1
1791,Female,0,Yes,No,44,Yes,Yes,Yes,Yes,No,No,No,One year,61.5,2722.2,0
4349,Male,1,Yes,No,1,Yes,Yes,No,No,No,No,No,Month-to-month,80.3,80.3,1
2289,Female,0,Yes,Yes,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,107.45,7576.7,0
5549,Female,0,No,No,3,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-month,97.9,315.3,1
4954,Male,0,No,Yes,1,Yes,No,No,No,No,Yes,Yes,Month-to-month,90.85,90.85,1
4216,Male,0,No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,92.0,6632.75,0
4951,Male,1,Yes,No,29,Yes,No,No,No,No,No,Yes,Month-to-month,84.3,2357.75,0
2006,Male,0,No,No,5,Yes,No,No,No,No,No,No,Month-to-month,47.15,223.15,1
3591,Female,0,No,No,2,Yes,Yes,Yes,No,Yes,No,No,Month-to-month,86.25,181.65,1
769,Male,0,Yes,No,17,Yes,Yes,Yes,No,No,No,Yes,One year,64.8,1175.6,0
261,Male,1,No,No,13,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,106.9,1364.3,1
1144,Male,0,No,No,1,No,No,No,No,No,No,Yes,Month-to-month,35.55,35.55,1
3257,Male,0,No,No,22,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,93.2,2157.3,0
6727,Female,1,Yes,No,13,No,No,No,No,No,Yes,Yes,Month-to-month,45.3,528.45,0
7032,Male,1,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,75.75,75.75,1
2614,Female,0,Yes,Yes,67,Yes,Yes,No,No,Yes,No,Yes,One year,94.35,6341.45,1
4757,Male,0,No,No,1,Yes,No,Yes,No,Yes,No,No,Month-to-month,60.1,60.1,1
3729,Male,0,No,No,62,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.05,1201.65,0
5165,Male,1,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,69.65,69.65,1
632,Male,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,89.85,6562.9,0
3659,Male,0,Yes,No,67,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,109.9,7332.4,0
1581,Male,0,No,No,21,No,No,Yes,No,Yes,No,No,Month-to-month,36.0,780.15,0
2751,Female,0,Yes,Yes,19,No,No,No,No,No,No,No,Month-to-month,24.85,434.8,0
645,Male,1,Yes,No,20,Yes,No,No,No,No,Yes,Yes,Month-to-month,94.55,1899.65,1
6757,Male,0,Yes,Yes,51,No,Yes,Yes,Yes,No,Yes,Yes,One year,59.3,3014.65,1
1754,Male,0,No,No,62,Yes,Yes,Yes,No,No,Yes,Yes,One year,74.3,4698.05,0
4365,Male,0,Yes,No,63,Yes,No,No,Yes,Yes,Yes,Yes,Two year,79.8,5034.05,0
5534,Male,0,No,Yes,21,Yes,Yes,No,No,No,No,No,Month-to-month,80.35,1747.2,0
198,Male,0,Yes,Yes,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,112.25,8041.65,0
5957,Male,1,Yes,No,18,Yes,No,No,No,No,No,Yes,Month-to-month,78.55,1422.65,1
3993,Female,0,No,Yes,70,Yes,Yes,Yes,No,Yes,No,No,Two year,66.0,4891.5,0
6899,Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,45.1,45.1,1
1527,Male,0,Yes,Yes,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,21.0,1493.75,0
377,Female,0,Yes,No,25,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,104.95,2566.5,1
2683,Female,0,No,No,7,Yes,Yes,No,No,No,No,No,Month-to-month,79.65,604.7,1
4963,Male,0,Yes,No,47,Yes,No,Yes,Yes,No,Yes,Yes,Two year,73.6,3522.65,0
3041,Male,0,No,Yes,1,Yes,No,Yes,No,No,No,No,Month-to-month,49.9,49.9,0
6510,Female,0,Yes,Yes,46,Yes,Yes,No,Yes,Yes,No,Yes,Two year,99.65,4630.2,0
268,Male,0,No,No,59,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.35,1099.6,1
6349,Female,0,Yes,Yes,35,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.7,730.4,0
4498,Female,0,Yes,Yes,11,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.0,196.35,0
6608,Male,0,No,No,22,Yes,No,Yes,No,Yes,No,No,One year,55.15,1193.05,1
1849,Male,0,No,No,10,Yes,No,No,No,No,No,No,Month-to-month,45.55,402.6,1
4869,Male,0,No,No,16,Yes,No,Yes,No,No,No,No,Month-to-month,80.55,1248.9,0
1522,Female,0,No,No,29,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-month,68.85,1970.5,1
265,Female,0,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,88.1,5526.75,0
5127,Male,0,No,No,67,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,118.35,7804.15,1
787,Female,0,Yes,No,34,Yes,Yes,No,No,Yes,No,No,Month-to-month,60.85,2003.6,0
3265,Male,0,Yes,Yes,29,Yes,No,No,No,No,No,No,Month-to-month,70.75,1974.8,1
1757,Male,0,Yes,Yes,54,Yes,No,Yes,No,Yes,No,No,Two year,79.95,4362.05,0
6620,Male,0,No,No,1,Yes,No,No,No,No,No,Yes,Month-to-month,80.8,80.8,1
2480,Male,1,Yes,No,59,Yes,No,No,No,No,Yes,Yes,Month-to-month,93.85,5574.75,1
1623,Female,0,No,No,54,Yes,No,Yes,No,No,Yes,Yes,Two year,97.2,5129.45,0
5994,Female,0,No,No,42,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-month,105.2,4400.75,1
6609,Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.1,20.1,1
6105,Female,0,No,No,52,Yes,Yes,Yes,No,Yes,Yes,Yes,One year,111.25,5916.45,1
4056,Female,0,No,No,3,No,No,Yes,No,No,Yes,Yes,Month-to-month,50.6,155.35,1
237,Male,0,Yes,No,18,Yes,No,No,No,No,No,No,Month-to-month,73.15,1305.95,0
1000,Female,0,No,No,7,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,95.35,660.9,1
731,Male,0,No,No,5,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.35,92.75,0
6427,Male,0,No,No,41,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.15,802.35,0
2727,Male,0,No,No,5,Yes,No,No,No,No,Yes,Yes,Month-to-month,94.85,462.8,1
1032,Female,1,No,No,8,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,92.1,729.95,1
7002,Female,0,Yes,No,64,Yes,No,Yes,No,Yes,Yes,Yes,Two year,105.4,6794.75,0
5643,Male,0,No,No,1,Yes,No,No,No,Yes,No,No,Month-to-month,75.9,75.9,1
4972,Female,0,Yes,No,71,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.05,1873.7,0
2538,Male,0,Yes,Yes,34,No,No,No,No,Yes,Yes,No,Two year,40.55,1325.85,0
5474,Female,0,No,No,1,Yes,No,No,No,No,Yes,No,Month-to-month,84.6,84.6,0
3577,Male,0,No,No,36,Yes,No,Yes,No,Yes,No,Yes,One year,65.4,2498.4,1
3351,Female,0,No,No,16,Yes,No,Yes,No,Yes,No,No,Month-to-month,53.9,834.15,1
5384,Female,0,No,No,4,Yes,No,No,No,Yes,Yes,No,Month-to-month,64.4,253.0,0
1423,Male,0,Yes,No,15,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,101.1,1504.05,1
1892,Male,1,No,No,4,No,No,Yes,No,No,Yes,Yes,Month-to-month,50.95,207.35,0
4639,Male,1,No,No,26,Yes,No,No,No,No,Yes,Yes,Month-to-month,93.6,2404.1,0
6676,Female,0,Yes,Yes,41,Yes,Yes,Yes,No,No,Yes,No,Month-to-month,94.3,3893.6,0
6334,Female,0,No,Yes,67,Yes,No,Yes,No,Yes,Yes,Yes,Two year,104.0,7039.05,0
7022,Male,0,No,No,72,Yes,No,Yes,Yes,No,Yes,Yes,One year,104.95,7544.3,0
985,Female,1,Yes,No,33,Yes,No,Yes,No,No,No,No,Month-to-month,80.6,2656.5,1
5390,Male,1,No,No,12,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,99.45,1200.15,1
5737,Male,0,Yes,Yes,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,83.25,1611.15,0
2130,Male,0,No,No,51,Yes,Yes,Yes,No,No,Yes,No,One year,94.8,4837.6,1
2311,Female,1,Yes,Yes,48,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,104.5,5068.05,0
2384,Male,1,Yes,No,48,Yes,No,No,Yes,No,No,Yes,Month-to-month,91.05,4370.75,0
3702,Female,1,No,No,20,Yes,Yes,No,No,No,No,No,Month-to-month,79.15,1520.9,1
5531,Male,0,Yes,Yes,68,No,Yes,Yes,No,No,Yes,No,One year,44.8,2983.65,0
1509,Male,0,No,No,17,Yes,No,No,Yes,No,No,No,Month-to-month,76.65,1313.55,1
4474,Male,0,No,No,57,No,No,No,Yes,Yes,Yes,Yes,Two year,53.35,3090.05,0
774,Male,0,Yes,No,33,Yes,No,No,Yes,No,Yes,Yes,One year,95.8,3036.75,1
876,Female,0,No,No,15,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,105.1,1582.75,1
4643,Male,0,No,No,3,Yes,No,No,No,Yes,Yes,No,Month-to-month,65.25,209.9,0
5174,Female,0,No,No,7,Yes,No,No,No,No,Yes,No,Month-to-month,80.3,526.7,1
3290,Female,0,No,No,4,No,Yes,No,Yes,No,No,No,Month-to-month,35.0,135.75,0
1981,Female,0,Yes,No,58,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,102.1,5885.4,1
6173,Male,1,No,No,35,Yes,Yes,No,No,No,No,Yes,Month-to-month,91.0,3180.5,0
1119,Male,0,Yes,Yes,70,No,Yes,No,Yes,Yes,Yes,Yes,Two year,59.5,4144.8,0
3325,Male,0,No,No,4,Yes,No,No,No,No,No,Yes,Month-to-month,85.65,338.9,1
3429,Female,0,Yes,Yes,53,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.55,1007.9,0
2557,Male,0,No,No,3,Yes,No,No,No,No,No,No,Month-to-month,45.45,141.7,0
4637,Male,1,Yes,No,71,Yes,Yes,Yes,No,Yes,Yes,No,One year,71.0,5012.1,0
4041,Male,0,No,No,46,No,Yes,No,Yes,Yes,Yes,Yes,Two year,60.75,2893.4,0
3178,Male,0,Yes,No,52,Yes,Yes,No,No,No,Yes,No,Month-to-month,84.1,4348.65,1
5197,Female,0,Yes,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,110.15,7998.8,0
6002,Male,0,Yes,No,6,Yes,No,No,No,No,Yes,No,Month-to-month,82.85,460.25,1
3380,Male,1,Yes,No,1,Yes,No,No,No,No,Yes,Yes,Month-to-month,95.1,95.1,1
5482,Male,0,Yes,Yes,33,Yes,No,No,Yes,Yes,Yes,Yes,One year,73.9,2405.05,1
4586,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,118.75,8672.45,0
5025,Male,0,Yes,Yes,6,Yes,No,No,No,No,No,No,Month-to-month,69.8,377.85,0
6742,Male,0,Yes,Yes,52,Yes,Yes,Yes,Yes,No,Yes,Yes,Two year,79.2,4016.3,0
4190,Female,0,Yes,No,11,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,96.2,1222.05,1
3463,Male,0,No,No,37,Yes,Yes,No,No,No,Yes,No,Month-to-month,91.15,3369.25,0
6448,Male,0,No,No,58,Yes,No,No,Yes,Yes,Yes,Yes,One year,104.65,6219.6,1
1808,Female,0,No,No,23,Yes,No,Yes,No,No,No,No,Month-to-month,79.15,1676.95,1
6781,Male,0,No,Yes,3,Yes,No,No,No,No,No,No,Month-to-month,69.65,220.1,1
4448,Female,1,No,No,30,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,99.7,2967.35,1
2383,Male,0,Yes,Yes,21,No,No,No,No,No,No,No,Month-to-month,26.05,565.75,0
1631,Female,1,Yes,No,17,Yes,Yes,No,Yes,No,No,No,Month-to-month,85.35,1463.45,1
4296,Female,0,Yes,Yes,35,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-month,72.25,2568.55,1
2361,Female,0,No,Yes,1,Yes,No,No,No,No,No,No,Month-to-month,45.95,45.95,1
6266,Male,1,No,No,33,Yes,No,Yes,Yes,No,No,No,Month-to-month,83.85,2716.3,1
1856,Female,1,No,No,38,Yes,Yes,Yes,No,No,No,No,Month-to-month,57.15,2250.65,1
